Slide	Para	Section
1	0	Title
2	na	Outline
3	5	1. INTRODUCTION
4	8	2. SPECTRUM LABELING
5	17;18;19;20;21;22;23;24;25;26	2.1 Preliminaries
6	39;40	2.2.2 Optimization Model
7	80	3. GROUP LABELING
8	109	4.2 Depth­First Search Voting Algorithm
9	150;151;152;153	4.3 Candidate Generation and Test Algorithm
10	149;156	5. COST ANALYSIS
11	252	"6.2 Decision Plots, 7.3.1 Algorithm Profille"
12	276	6.2 Decision Plots
13	283	6.3.2 System Graph
14	303	7.3 Algorithm Profiles and Decision Plots
15	303	7.3 Algorithm Profilles and Decision Plots
16	na	Outline
