Slide	Para	Section	Comments
1	0;1;2;3;4;5;6;7	Title	
2	na	Outline	
3	26;27;28	2.1 The Basics	
4	26;27;28	2.1 The Basics	
5	17	2.1 The Basics	
6	37;38;39;40;41	2.2 IRGs	
7	19	3. The Farmer Algorithm	
8	51	3.1 Enumeration	
9	37;38;39;40;41	2.2 IRGs	
10	17;18	1. Introduction	
11	10	1. Introduction	
12	29	1. Introduction	
13	37;38;39;40;41	2.2 IRGs	
14	19	1. Introduction	
15	20	1. Introduction	
16	74	2.2 IRGs	
17	30	2.2 IRGs	
18	74	3.1 Enumeration	
19	72	3.1 Enumeration	
20	121;122	3.2 Pruning Strategies	
21	na	-	
22	37;38;39;40;41	2.2 IRGs	
23	155	3.4 Finding Lower Bounds	
24	na	4.1 Efficiency of FARMER	Outline
25	209;210;211	4.1 Efficiency of FARMER	
26	222	4.1 Efficiency of FARMER	Fig
27	225	4.1 Efficiency of FARMER	Fig
28	247;248	4.2 Usefulness of IRGs	
29	256;257	6. CONCLUSIONS	
30	na	Thank You	
31	109	3.2 Pruning Strategies	Backup
32	115;116	3.2 Pruning Strategies	Backup
33	121	3.2 Pruning Strategies	Backup
34	131;132	3.2 Pruning Strategies	Backup
35	136	3.2 Pruning Strategies	Backup
36	37;38;39;40;41	2.2 IRGs	Backup
37	197;198;199;200	3.4 Finding Lower Bounds	Backup
