Slide	Para	Section	
1	0	Title	
2	0	Title	
3	11	1. INTRODUCTION	
4	13	1.1 Graphics Processing Units	
5	na	-	Extra
6	na	-	Extra
7	7	1.1 Graphics Processing Units	
8	192	-	
9	na	-	Extra
10	192	1.1 Graphics Processing Units	
11	23	2. RELATEDWORK	
12	na	Outline	
13	na	Outline	
14	46;47;48	3.1 Graphics Pipeline	
15	74;75	4. BASICDATABASEOPERATIONSUSING GPUS	
16	na	Outline	
17	na	Outline	
18	75	4.3 Aggregations	
19	76;88	4.1 Predicate Evaluation	
20	88	4.1.2 Comparison between Two Attributes	
21	76;86	Semi­linear Queries on GPUs	
22	101	Semi­linear Queries on GPUs	
23	na	Outline	
24	104	4.2 Boolean Combination	
25	105	4.2 Boolean Combination	
26	na	-	Extra
27	na	-	Extra
28	na	-	Extra
29	na	-	Extra
30	na	-	Extra
31	na	-	Extra
32	108	Range Queries	
33	na	Outline	
34	75;76;77;78;79	4.3 Aggregations	
35	51;112	4.3.1 COUNT	
36	117	4.3.2 MIN and MAX	
37	118	k­th Largest Number	
38	124	k­th Largest Number	
39	na	-	Extra
40	na	-	Extra
41	na	-	Extra
42	na	-	Extra
43	na	-	Extra
44	na	-	Extra
45	na	-	Extra
46	na	-	Extra
47	na	-	Extra
48	124	k­th Largest Number	
49	na	-	Extra
50	na	-	Extra
51	na	-	Extra
52	130	4.3.3 SUM and AVG	
53	132;133;134	4.3.3 SUM and AVG	
54	133	4.3.3 SUM and AVG	
55	na	Outline	
56	151	5. IMPLEMENTATION&PERFORMANCE	
57	157;158;159;160;166	5. IMPLEMENTATION&PERFORMANCE	
58	153;154;155	5.1 Benchmarks	
59	170	5.2 Optimized CPU Implementation	
60	163;172	5.2 Optimized CPU Implementation	
61	173;174;163	5.2 Optimized CPU Implementation	
62	175	5.2 Optimized CPU Implementation	
63	180	5.2 Optimized CPU Implementation	
64	187	6.1 Implementing Basic Operations on GPUs
65	182;183	5.9 K­th Largest Number
66	182;183	5.9 K­th Largest Number
67	182;183	5.9 K­th Largest Number
68	184	5.10 Accumulator
69	na	Outline
70	192	6. ANALYSIS
71	194	6.2 Relative Performance Gain
72	195;196;197;198;199;200	6.2.1 High Performance
73	201;202	6.2.2 Medium Performance Gain
74	203;204;205;206;207	6.2.3 Low Performance Gain
75	202	7. CONCLUSIONS AND FUTUREWORK
76	211	7. CONCLUSIONS AND FUTUREWORK
77	na	Outline
78	7;209	7. CONCLUSIONS AND FUTUREWORK
79	214	7. CONCLUSIONS AND FUTUREWORK
80	215	7. CONCLUSIONS AND FUTUREWORK
81	217	Acknowledgements
