Slide	para	Section	
1	0	Title	
2	na	Outline	
3	12	1. INTRODUCTION	
4	14	1. INTRODUCTION	
5	15	1. INTRODUCTION	
6	15	1. INTRODUCTION	
7	10	2.2 Overview of the approach	
8	19	2.2 Overview of the approach	
9	19	2.2 Overview of the approach	
10	19	2.2 Overview of the approach	
11	29	2.1 Problem definition	
12	32	2.1 Problem definition	
13	34	2.1 Problem definition	fig
14	35	2.1 Problem definition	fig
15	24	2.1 Problem definition	fig
16	31	2.1 Problem definition	
17	45	3. RECONCILIATION ALGORITHM	
18	47	3.1 Dependency graph	
19	48	3.1 Dependency graph	fig
20	54	3.1 Dependency graph	fig
21	24	3.1 Dependency graph	
22	62;63	3.1 Dependency graph	
23	64	3.1 Dependency graph	
24	65	3.1 Dependency graph	
25	65	3.1 Dependency graph	
26	77	3.2 Exploiting the dependency graph	
27	79	3.2 Exploiting the dependency graph	
28	80	3.2 Exploiting the dependency graph	
29	87	3.2 Exploiting the dependency graph	
30	93	3.3 Enriching the references	
31	103	3.3 Enriching the references	fig
32	108	3.4 Enforcing constraints	
33	112	3.4 Enforcing constraints	fig
34	116	4. COMPUTING SIMILARITY SCORES	
35	120	4. COMPUTING SIMILARITY SCORES	incomplete
36	127	4. COMPUTING SIMILARITY SCORES	incomplete
37	130	4. COMPUTING SIMILARITY SCORES	incomplete
38	145;146;147	5. EXPERIMENTAL RESULTS	
39	141	5.1 Datasets	
40	158;159	5.2 Experimental methodology	
41	159	5.2 Experimental methodology	
42	149;162	5.2 Experimental methodology	
43	166	5.3 Reference reconciliation for personal data	
44	166	5.3 Reference reconciliation for personal data	
45	218	7. CONCLUSIONS AND FUTURE WORK	
46	218;219	7. CONCLUSIONS AND FUTURE WORK	
47	na	Questions	
